,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
MAP6,MAP6,MAP6,MAP6,-0.1173,0.42282092571258545,3.093522728095346,12.648483323664024,0.5843370983474593,8.717509891547952,0.024716961337253453,0.08126934617757797,1.553579568862915,0.3635231888025786,0.0,0.0,0.465424083179184,0.2175797483292816,4.786169661048414,0.33437068549343163,1.4393916634026211,False,0.7577460425345864,0
LAMB1,LAMB1,LAMB1,LAMB1,0.0108,-2.261014699935913,,,,,,,,,,,,,,,,False,0.024380113796716268,0
DLD,DLD,DLD,DLD,0.0221,0.0064465999603271484,,,,,,,,,,,,,,,,False,0.2000384763899168,0
BCAP29,BCAP29,BCAP29,BCAP29,-0.0558,0.06318169832229614,0.25450169870751316,0.5251508401072004,0.242384138807367,14.155408686864297,0.7703283226986726,0.16132335364818573,0.26509279012680054,0.2518251718438225,0.0,0.0,0.3428331394004572,0.45553251739068945,0.9019053374128095,0.8357475154176629,2.9800757144160763,True,0.5791363585856578,0
TMEM209,TMEM209,TMEM209,TMEM209,-0.0382,-0.06584227085113525,,,,,,,,,,,,,,,,False,0.05270643148805051,0
HBP1,HBP1,HBP1,HBP1,-0.0102,-0.15003132820129395,,,,,,,,,,,,,,,,False,0.2892698501242683,0
PRKAR2B,PRKAR2B,PRKAR2B,PRKAR2B,0.0127,-0.029531240463256836,,,,,,,,,,,,,,,,False,0.4098438709813656,0
PIK3CG,PIK3CG,PIK3CG,PIK3CG,0.0057,-1.0217888355255127,,,,,,,,,,,,,,,,False,0.06186134952014485,0
NAMPTP1,NAMPTP1,NAMPTP1,NAMPTP1,-0.0157,-0.7160402536392212,,,,,,,,,,,,,,,,False,0.1549118301437799,0
CEP41,CEP41,CEP41,CEP41,-0.0547,0.23828625679016113,0.20859207332644888,2.5057309240608387,0.30984718393379906,6.865343723864906,0.28112514413893225,0.03356190770864487,0.1608702391386032,0.18121525320048362,0.0,0.0,0.31894167815441776,0.10216322485173755,0.41722083151147793,0.9244221734504313,1.8218195193364284,True,0.5685362755892837,0
ATXN7L1,ATXN7L1,ATXN7L1,ATXN7L1,-0.0402,-4.2754034996032715,,,,,,,,,,,,,,,,False,0.19104321064102212,0
RINT1,RINT1,RINT1,RINT1,-0.0027,-0.4232213497161865,,,,,,,,,,,,,,,,False,0.03625132224280243,0
PUS7,PUS7,PUS7,PUS7,0.0005,-0.10802805423736572,,,,,,,,,,,,,,,,False,0.21424040908495248,0
COPG2,COPG2,COPG2,COPG2,0.0255,-1.3348350524902344,,,,,,,,,,,,,,,,False,0.05108689060154936,0
SRPK2,SRPK2,SRPK2,SRPK2,-0.0272,-0.22841143608093262,,,,,,,,,,,,,,,,False,0.4165585922206827,0
KMT2E,KMT2E,KMT2E,KMT2E,-0.1208,-0.17602264881134033,,,,,,,,,,,,,,,,False,0.4671886270530873,0
FBXO18,FBXO18,FBXO18,FBXO18,0.0179,-0.528433084487915,,,,,,,,,,,,,,,,False,0.07096924383811613,0
GDI1,GDI1,GDI1,GDI1,0.0316,-0.02275693416595459,,,,,,,,,,,,,,,,False,0.14386277455911362,0
ORC5,ORC5,ORC5,ORC5,0.0825,0.038324832916259766,0.03916749584628321,0.08620689692649056,0.19164622996740802,11.102891435158174,3.359609457850457,0.13904601335525513,0.045629777014255524,0.21598065699140526,0.0,0.0,0.09142548729896366,0.4314872395020658,0.1364799820304174,1.0257843679057403,3.4260232013177627,True,0.3994185676341583,0
RELN,RELN,RELN,RELN,-0.0441,0.7549423724412918,0.17406751122229402,0.06618017150433843,0.28346662855035953,7.494584027870866,7.0589612460136415,0.6329536437988281,0.1035650223493576,0.12567002196985225,0.0,0.0,0.4614158617216725,2.1765565271114244,0.3789809924823328,1.458361228816518,2.4135031204112565,True,0.5505726509926814,0
DNAJC2,DNAJC2,DNAJC2,DNAJC2,0.1385,-0.08776712417602539,,,,,,,,,,,,,,,,False,0.19815728178502173,0
PMPCB,PMPCB,PMPCB,PMPCB,0.0032,-0.11787092685699463,,,,,,,,,,,,,,,,False,0.033043082061866985,0
NAPEPLD,NAPEPLD,NAPEPLD,NAPEPLD,0.0254,-0.24420666694641113,,,,,,,,,,,,,,,,False,0.19606124495833863,0
FAM185A,FAM185A,FAM185A,FAM185A,-0.0096,0.008590221405029297,,,,,,,,,,,,,,,,False,0.4700326772297528,0
GSAP,GSAP,GSAP,GSAP,-0.0303,-2.800396680831909,,,,,,,,,,,,,,,,False,0.10459623453532457,0
RSBN1L,RSBN1L,RSBN1L,RSBN1L,-0.026,-0.7363854646682739,,,,,,,,,,,,,,,,False,0.5024174139925119,0
TMEM60,TMEM60,TMEM60,TMEM60,0.0117,-0.05567300319671631,,,,,,,,,,,,,,,,False,0.0,0
PHTF2,PHTF2,PHTF2,PHTF2,-0.0976,0.08572602272033691,0.17290995318892177,0.14219713322255587,0.2389082795641221,14.869392986102858,3.1248415178060536,0.3978426456451416,0.1804705709218979,0.2658363299303167,0.0,0.0,0.25322731316391145,1.1712350319638407,0.49024761657648047,0.7981477941630201,3.0381900105781936,True,0.663691082157541,17
NET1,NET1,NET1,NET1,0.2243,0.17334598302841187,0.5582417395217801,6.672061285361111,0.3597588946520723,4.0101552700831,0.08165615829639139,0.015651781111955643,0.3320840895175934,0.2838277729488314,0.0,0.0,0.44081008312650527,0.049448858995715904,0.6839237309719339,0.5021808268790026,2.7256964163340736,True,0.3969585611163624,0
EXOC4,EXOC4,EXOC4,EXOC4,0.0231,-0.6706962585449219,,,,,,,,,,,,,,,,False,0.37195883220914794,0
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1,-0.1685,0.4218263030052185,0.16530974618609337,0.013300059230038198,0.09388825686436626,20.291933012501485,15.871916675567627,3.9352219104766846,0.3181847333908081,0.29464281274637266,0.0,0.0,0.4144488171451076,9.500532621999128,0.8695734778001647,0.6426629081032144,6.2313248198060025,False,0.901459635434428,0
ALG12,ALG12,ALG12,ALG12,0.0326,-0.47490477561950684,,,,,,,,,,,,,,,,False,0.19435363958995272,0
CRELD2,CRELD2,CRELD2,CRELD2,0.0558,0.11060386896133423,0.07951449103914793,0.8296074662110527,0.2537125364638997,7.760576490790074,0.7012693530817824,0.03608522191643715,0.06513599306344986,0.19900056594751395,0.0,0.0,0.16067883169615366,0.11401430121046857,0.19981137735383778,1.123023301715329,2.067010208144552,True,0.42346079739975545,0
