,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
KIF21A,KIF21A,KIF21A,KIF21A,0.1571,0.4677404761314392,0.7332418255748124,0.5097405741097539,0.14220639885844835,19.53841554432502,0.48086400628089904,0.3747870624065399,0.7534233331680298,0.1954186907078413,0.0,0.0,0.49620995380569494,1.175753564725694,4.955768513332667,1.1941381743908641,4.140898335176171,True,0.7814859385470632,0
LRRK2,LRRK2,LRRK2,LRRK2,0.028,0.19093555212020874,0.121672953523284,0.5286044573970405,0.2905654101155104,10.976305794971282,0.9822318156560261,0.06325072795152664,0.07512739300727844,0.15574486914770524,0.0,0.0,0.4513339176830809,0.20712662526375214,0.32582852299774767,1.567429500728334,2.3593440182951637,True,0.44077019588132993,0
MAP6,MAP6,MAP6,MAP6,-0.0481,0.48170948028564453,2.8479838369465713,5.652608474254086,0.15351958952773911,18.19950390449223,0.06681712108353774,0.16619092226028442,2.998518705368042,0.2834538256712534,0.0,0.0,0.49946446961726565,0.379062222442807,16.384830038464656,0.604572490848349,3.351504933948635,True,0.8736962783533663,26
LAMB1,LAMB1,LAMB1,LAMB1,-0.0247,-2.0343875885009766,,,,,,,,,,,,,,,,False,0.224245162558753,0
DLD,DLD,DLD,DLD,-0.0042,-0.12217581272125244,,,,,,,,,,,,,,,,False,0.06719654523665752,0
SLC26A4,SLC26A4,SLC26A4,SLC26A4,-0.0058,-0.2701677083969116,,,,,,,,,,,,,,,,False,0.3032248359615832,0
ZC3HC1,ZC3HC1,ZC3HC1,ZC3HC1,0.0225,-0.07664215564727783,,,,,,,,,,,,,,,,False,0.0558263030259638,0
BCAP29,BCAP29,BCAP29,BCAP29,-0.074,0.3779757022857666,0.6494954097681155,0.8290924643888031,0.38960117550048445,9.968894526696742,0.2968948110938072,0.2361566573381424,0.36987122893333435,0.24728213810183722,0.0,0.0,0.43781081570165337,0.7449801884200661,1.3083059748570467,0.9036635988349949,1.891942565764059,True,0.7005150242934683,0
KLHDC10,KLHDC10,KLHDC10,KLHDC10,-0.0082,-0.37683725357055664,,,,,,,,,,,,,,,,False,0.1291032646113517,0
TMEM209,TMEM209,TMEM209,TMEM209,-0.0274,-0.056705355644226074,,,,,,,,,,,,,,,,False,0.10892033126325867,0
HBP1,HBP1,HBP1,HBP1,-0.0375,-0.34553277492523193,,,,,,,,,,,,,,,,False,0.29450083438002395,0
PRKAR2B,PRKAR2B,PRKAR2B,PRKAR2B,0.0289,0.1642056703567505,0.09094686543133618,0.10600964990022704,0.18007795759170658,16.328419483860028,2.4752658820152287,0.23772510886192322,0.10588435083627701,0.18750046016331773,0.0,0.0,0.3847964564532472,0.8341346962527306,0.3741157911236173,1.4388615451479547,4.201567471775507,True,0.5150861118492062,0
PIK3CG,PIK3CG,PIK3CG,PIK3CG,-0.0297,-0.8505574464797974,,,,,,,,,,,,,,,,False,0.12421756081583471,0
NAMPTP1,NAMPTP1,NAMPTP1,NAMPTP1,0.0176,-0.6158777475357056,,,,,,,,,,,,,,,,False,0.20134431353064472,0
CEP41,CEP41,CEP41,CEP41,-0.0854,0.2031499743461609,0.3638127912393913,3.3779253057948826,0.3466189149345738,6.685656504861523,0.17880867170790832,0.03568045422434807,0.25259125232696533,0.19959615324034785,0.0,0.0,0.4295896628585814,0.11362494851363066,0.6460890322763088,0.8838699558141108,1.796350665272884,True,0.5425437039897981,0
ATXN7L1,ATXN7L1,ATXN7L1,ATXN7L1,-0.0511,-4.114398002624512,,,,,,,,,,,,,,,,False,0.30344355283156255,0
RINT1,RINT1,RINT1,RINT1,-0.0136,-0.27552759647369385,,,,,,,,,,,,,,,,False,0.083025251918303,0
PUS7,PUS7,PUS7,PUS7,0.0303,-0.00671541690826416,,,,,,,,,,,,,,,,False,0.2583216494044259,0
COPG2,COPG2,COPG2,COPG2,0.0194,-1.2772138118743896,,,,,,,,,,,,,,,,False,0.1915177753991963,0
SRPK2,SRPK2,SRPK2,SRPK2,-0.0087,-0.0275651216506958,,,,,,,,,,,,,,,,False,0.34897513233456795,0
KMT2E,KMT2E,KMT2E,KMT2E,-0.1573,0.19267064332962036,1.0382590165143162,0.6475143399859723,0.2878749259529156,11.470520400893953,0.2553156378865242,0.3542986810207367,0.6556830406188965,0.2884111993955145,0.0,0.0,0.4133854980757621,1.2419543367104233,2.1076217458165925,0.6255515914736361,2.721984871541341,True,0.6397185009978323,0
FBXO18,FBXO18,FBXO18,FBXO18,-0.0342,-0.41361844539642334,,,,,,,,,,,,,,,,False,0.2130803991611386,0
ANKRD16,ANKRD16,ANKRD16,ANKRD16,0.0092,-0.2288569211959839,,,,,,,,,,,,,,,,False,0.09465348113335834,0
GDI1,GDI1,GDI1,GDI1,0.0373,0.012204647064208984,0.2369008641194201,2.9535867385749257,0.2427124159436187,4.062101149269337,0.09962076019495728,0.02384057268500328,0.11307553201913834,0.1856887107877767,0.0,0.0,0.3245437406661689,0.07990023054509662,0.34628169887281696,1.493554327682043,1.60583985356805,True,0.26925248987400535,0
ORC5,ORC5,ORC5,ORC5,0.0719,0.29594099521636963,0.07748515778058683,0.10224632701027637,0.21540791719352465,12.467752761623228,3.4890276777744287,0.2515738308429718,0.07823314517736435,0.22234068908779936,0.0,0.0,0.2493104491017587,0.7248395619712268,0.22281921089723195,1.0851868480167022,2.8893570517443563,True,0.5274320637985329,0
RELN,RELN,RELN,RELN,-0.0293,0.7621184289455414,0.6280382990495443,0.11641307552142666,0.37821743219035525,6.447340434154983,6.511017548508114,1.4273265600204468,0.2907062768936157,0.20287896850621576,0.0,0.0,0.4828920808064145,3.8496253276883987,0.9677825762793935,0.7580376119213506,1.608468096397646,True,0.5676969115039029,20
SLC26A5,SLC26A5,SLC26A5,SLC26A5,0.0195,-0.6486077308654785,,,,,,,,,,,,,,,,False,0.09657572779087925,0
DNAJC2,DNAJC2,DNAJC2,DNAJC2,0.1707,-0.4712580442428589,,,,,,,,,,,,,,,,False,0.0,0
PMPCB,PMPCB,PMPCB,PMPCB,0.0368,-0.0456233024597168,,,,,,,,,,,,,,,,False,0.13813083208006138,0
NAPEPLD,NAPEPLD,NAPEPLD,NAPEPLD,-0.0309,-0.32739102840423584,,,,,,,,,,,,,,,,False,0.12669393066959053,0
FAM185A,FAM185A,FAM185A,FAM185A,-0.0316,-0.3097110986709595,,,,,,,,,,,,,,,,False,0.5111159317408893,0
GSAP,GSAP,GSAP,GSAP,-0.042,-1.6174347400665283,,,,,,,,,,,,,,,,False,0.2211547507436556,0
RSBN1L,RSBN1L,RSBN1L,RSBN1L,-0.0091,-0.8858712911605835,,,,,,,,,,,,,,,,False,0.47597418973266986,0
TMEM60,TMEM60,TMEM60,TMEM60,-0.0047,0.0217134952545166,0.2123948672754549,2.757169736841777,0.19508852171645416,4.654360831371435,0.09420684367418289,0.018439780920743942,0.11303821206092834,0.10906602432960746,0.0,0.0,0.41116190606561787,0.06885011161595189,0.41505361399773893,2.112022231564818,1.9057206618685565,True,0.09588177596874366,0
PHTF2,PHTF2,PHTF2,PHTF2,-0.0946,0.261133074760437,0.11430415122514531,0.07937781964662739,0.13298948758906057,20.07866734421498,3.3216350100437797,0.47912800312042236,0.17080968618392944,0.2353851065607346,0.0,0.0,0.32234215593212456,1.385676311906492,0.5095500006693705,0.9914646179200746,4.38426022346742,True,0.7660405624448795,15
